username,tweet,remove_user,value,,,,
jajaksumping,@linkaja Cocok sekali untuk pekerja #lengkapnyauntuksemua  @linkaja sangat mengispirasi dan menjadi inovasi di tengah pandemi ini.,linkaja Cocok sekali untuk pekerja #lengkapnyauntuksemua   sangat mengispirasi dan menjadi inovasi di tengah pandemi ini.,positif,,,,
furqonfauzi10,@linkaja menginspirasi buat kita yang menjaga protokol kesehatan dan sangat memudahkan saya dalam bertransaksi khusus nya pada masa² pandemi ini #LengkapnyaUntukSemua, menginspirasi buat kita yang menjaga protokol kesehatan,,,,,
rickysi95745641,@linkaja @linkaja emang solutif banget di masa pandemi begini. Menginspirasi buat kita yang menjaga protokol kesehatan. #lengkapnyauntuksemua, linkaja emang solutif banget di masa pandemi begini. Menginspirasi buat kita yang menjaga protokol kesehatan. #lengkapnyauntuksemua,positif,,,,
hastinfina,Hainamaku fina. Pandemi masih belum berlalu. Kalau mau transaksi pakai aplikasi linkaja mudah gak ribet cukup pakai hp dari rumah cocok sekali buat ibu di rumah. #lengkapnyauntuksemua   @linkaja,Hai,,,,,
azizah_mariah,@linkaja Selama pandemi jadi mls kemana2 males juga buat pake uang cash  untung aja ada @linkaja ada banyak promo jadi berguna buat sekarang #LengkapnyaUntukSemua, Selama pandemi jadi mls kemana2 males juga buat pake uang cash ,,,,,
ramadhanwahyu93,@linkaja Di masa pandemi ini pake link aja cocok sekali buat ibu dirumah. Tanpa harus keluar rumah yaa dan ada banyak promo jadi berguna buat sekarang @linkaja #lengkapnyauntuksemua, Di masa pandemi ini pake link aja cocok sekali buat ibu dirumah. Tanpa harus keluar rumah yaa dan ada banyak promo jadi berguna buat sekarang  #lengkapnyauntuksemua,positif,,,,
tsani79984055,@linkaja Terimakasih  @linkaja   pembelian pulsa pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayran dan pembelian juga bnyak promo dan cashback nya lohh cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linka, Terimakasih  linkaja  pembelian pulsa,,,,,
pria_ketiga,@inicuma @linkaja Selama pandemi ini sy jd lbh sering delivery order. Nah ini sangat menginspirasi saya. Meskipun bukan ibu-ibu cocok juga buat saya yang sering delivery makanan Terima kasih  @linkaja  #LengkapnyaUntukSemua, linkaja Selama pandemi ini sy jd lbh sering delivery order. Nah ini sangat menginspirasi saya. Meskipun bukan ibu-ibu,,,,,
vvyuliantiapan,@linkaja Memang link aja cocok sekali selama pandemi daripada  keluar rumah buat beli paketan atau bayar listrik hingga transfer. Sangat menginspirasi buat kita yang #dirumahaja  @linkaja #LengkapnyaUntukSemua, Memang link aja cocok sekali selama pandemi daripada  keluar rumah buat beli paketan atau bayar listrik hingga transfer. Sangat menginspirasi buat kita yang #dirumahaja   #LengkapnyaUntukSemua,positif,,,,
citraaa95672708,@linkaja Semenjak masa pandemi saya jarang berbelanja kebutuhan makan sehingga saya sering delivery makanan melalui aplikasi link aja semuanya jadi simpel dan mudah jadi meskipun bukan ibu-ibu cocok juga buat saya yang sering delivery makanan  #Lengkapnya, Semenjak masa pandemi saya jarang berbelanja kebutuhan makan sehingga saya sering delivery makanan melalui aplikasi link aja semuanya jadi simpel dan mudah,,,,,
ve_hann,@linkaja Wahh semua jadi lebih praktis di linkaja. Cocok sekali buat ibu dirumah. Apalagi pandemi begini menginspirasi buat Kita yang #dirumahaja  terima kasih @linkaja #lengkapnyauntuksemua, Wahh,,,,,
adhellapr,@linkaja Cocok banget untuk keadaan ditengah pandemi seperti ini Menginspirasi buat kita yang #dirumahaja untuk tetap tidak keluar rumah demi kesehatan bersama Terimakasih @linkaja  #lengkapnyauntuksemua,linkaja Cocok banget untuk keadaan ditengah pandemi seperti ini Menginspirasi buat kita yang #dirumahaja untuk tetap tidak keluar rumah demi kesehatan bersama Terimakasih   #lengkapnyauntuksemua,positif,,,,
danisriyanto,@linkaja Sangat cocok apalagi saat pandemi ini yang di haruskan kita tetap di rumah dan jauhi keramian di tambah ada banyak promo jadi berguna buat sekarang terima kasih link aja #lengkapnyauntuksemua, Sangat cocok apalagi saat pandemi ini yang di haruskan kita tetap di rumah dan jauhi keramian di tambah ada banyak promo jadi berguna buat sekarang terima kasih link aja #lengkapnyauntuksemua,positif,,,,
bongdeta,@linkaja Linkaja sangat menginspirasi buat kita yang #dirumahaja ketika lagi pandemi covid-19 #lengkapnyauntuksemua, Linkaja sangat menginspirasi buat kita yang #dirumahaja ketika lagi pandemi covid-19 #lengkapnyauntuksemua,positif,,,,
nila98773173,@linkaja Terimakasih @linkaja  pembelian pulsa pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayran dan pembelian juga bnyak promo dan cashback nya lohh cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linkaja, Terimakasih   pembelian pulsa,,,,,
ikmaljabo,@linkaja Terimakasih  @linkaja   telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini LinkAja #lengkapnyauntuksemua, linkaja Terimakasih     telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini,,,,,
oktazanaputri,@linkaja Terimakasih @linkaja sudah memudah kan proses transaksi di masa pandemi seperti saat ini #LengkapnyaUntukSemua, Terimakasih  linkaja sudah memudah kan proses transaksi di masa pandemi seperti saat ini #LengkapnyaUntukSemua,positif,,,,
alam96122702,@linkaja Terimakasih @linkaja telah mempermudah transaksi non tunai di musim pandemi ini sangat membantu dalam bertransaksi.  #Lengkapuntuksemua, linkaja Terimakasih  telah mempermudah transaksi non tunai,,,,,
anindyajati31,@linkaja Terima kasih @linkaja semakin mudah untuk transaksi non tunai selama pandemi #LengkapnyaUntukSemua, Terima kasih linkaja  semakin mudah untuk transaksi non tunai selama pandemi #LengkapnyaUntukSemua,positif,,,,
iwanzpasker,@linkaja Terimakasih  @linkaja   telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini lebih nyaman transaksi non tunai.  LinkAja #lengkapnyauntuksemua, Terimakasih linkaja    telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini,,,,,
sephiarf,@linkaja Dengan adanya link aja memudahkan kita untuk bertransaksi seperti belanja online karena pandemi ini mengharuskan kita tetap dirumah aja selain itu banyak promo yang didapatkan ketika menggunakan @linkaja  #LengkapnyaUntukSemua, Dengan adanya link aja memudahkan kita untuk bertransaksi,,,,,
namaakuulfa,@linkaja wah terimakasih @linkaja. karena sangat mempermudah saya melakukan pembayaran/transaksi online terutama dimasa pandemi ini. Meskipun sedang pandemi yuk Semangat Indonesia! #lengkapnyauntuksemua, wah terimakasih linkaja. karena sangat mempermudah saya melakukan pembayaran/transaksi online terutama dimasa pandemi ini. Meskipun sedang pandemi,,,,,
royalbemnus,@linkaja Terima kasih @linkaja sungguh sudah memudahkan banyak kegiatan transaksi saya terutama saat pandemi seperti ini. #LengkapnyaUntukSemua, Terima kasih linkaja,,,,,
utupppp,@linkaja Terima kasih @linkaja   sgt membantu untuk proses pembayaran di masa pandemi sekarang ini dg metode cashlessnya jadi kita bisa tetap menjaga untuk terhindar dari penularan covid melalui uang #LengkapnyaUntukSemua, Terima kasih   ,,,,,
evadheka,@linkaja Semoga pandemi segera berlalu agar mengurangi aktifitas berbelanja online yang semakin meningkat 😄 semangat Indonesia #lengkapnyauntuksemua, linkaja Semoga pandemi segera berlalu agar mengurangi aktifitas berbelanja online yang semakin meningkat 😄,,,,,
arzldii,@linkaja Sukses selalu untuk LinkAja @linkaja sangat mempermudah saya dalam bertransaksi maupun bayar iuran asuransi di masa pandemi seperti saat ini #lengkapnyauntuksemua, Sukses selalu untuk LinkAja ,,,,,
ardxne,@linkaja Aplikasi yang melancarkan keseharian dalam bertransaksi terutama di pandemi seperti ini #LengkapnyaUntukSemua, Aplikasi linkaja yang melancarkan keseharian dalam bertransaksi terutama di pandemi seperti ini #LengkapnyaUntukSemua,positif,,,,
chev_celious,@linkaja @linkaja di masa pandemi semua transaksi bisa dilakukan di rumah terima kasih @linkaja #lengkapnyauntuksemua,linkaja di masa pandemi semua transaksi bisa dilakukan di rumah,,,,,
exolee_1485,@linkaja Terima kasih @linkaja sudah sangat membantu disaat pandemi ini meskipun dirumah aja tapi tetep bisa belanja dengan transaksi yang ngak ribet ditambah banyak cashbacknya makin love deh pokoknya !!! #LengkapnyaUntukSemua,linkaja Terima kasih  sudah sangat membantu disaat pandemi ini,,,,,
jojoraditya,@linkaja Terima kasih @linkaja bisa bayar di pertamina dengan cashless dan touchless sangat membantu di kondisi pandemi ini 😁 #lengkapnyauntuksemua,linkaja Terima kasih  bisa bayar di pertamina dengan cashless dan touchless,,,,,
arinaizzaaa,@linkaja Semangat Indonesia menghadapi pandemi ini agar segera berakhir dan Terimakasih @linkaja telah memudahkan pembayaran dimasa pandemi ini #lengkapnyauntuksemua, linkaja Semangat Indonesia menghadapi pandemi ini agar segera berakhir dan Terimakasih  telah memudahkan pembayaran dimasa pandemi ini #lengkapnyauntuksemua,positif,,,,
dosennyali,@linkaja Emang link aja bantu gue bgt apalagi dimasa pandemi gini harus serba online #lengkapnyauntuksemua, Emang link aja bantu gue bgt apalagi dimasa pandemi gini harus serba online #lengkapnyauntuksemua,positif,,,,
gilanganggada1,@linkaja Ya selama pandemi ini @linkaja bener bener ngebantu gua bnget sih entah dari hal pembayaran atau apapun semuanya jadi lebih mudah dan lebih safety juga terimakasih @linkaja #lengkapnyauntuksemua  #PengalamanBaru,linkaja Ya selama pandemi ini  bener bener ngebantu gua bnget sih entah dari hal pembayaran atau apapun semuanya jadi lebih mudah dan lebih safety juga,,,,,
pendra57974452,@linkaja Selama pandemi ini jadi sering banget belajar masak seru banget deh gak perlu takut kuota abis dan repot repot ke toko untuk beli kuota karena sekarang bisa bayar pake linkaja #pengalamanbaru #lengkapnyauntuksemua @linkaja, Selama pandemi ini jadi sering banget belajar masak,,,,,
ridwanfadhil13,@linkaja Selama masa pandemi ini saya menghabiskan banyak waktu buat baca buku novel dan persiapan untuk masuk PTN. Jadinya saya setiap seminggu sekali selalu beli buku baru secara online #PengalamanBaru #lengkapnyauntuksemua @linkaja,Selama masa pandemi ini saya menghabiskan banyak waktu buat baca buku novel dan persiapan untuk masuk PTN. Jadinya saya setiap seminggu sekali selalu beli buku baru secara online pake linkaja #PengalamanBaru #lengkapnyauntuksemua ,positif,,,,
imamabdulreza,@linkaja Menjaga kesehatan dgn makan makanan sehat jd salah satu hal penting di era pandemi ini. Dan juga dibarengi dengan olahraga bersepeda menjadi salah satu aktifitas favorit saya. Dan @linkaja adalah solusi pembayaran virtual ketika bertransaksi #len, Menjaga kesehatan dgn makan makanan sehat jd salah satu hal penting di era pandemi ini. Dan juga dibarengi dengan olahraga bersepeda menjadi salah satu aktifitas favorit saya. Dan linkaja adalah solusi pembayaran virtual ketika bertransaksi #lengkapnyauntuksemua #PengalamanBaru,positif,,,,
tyofebriana_,@linkaja Belakangan ini saya seneng berolahraga tentunya bersepada dimana pada masa pandemi harus meningkatkan sistem imun tubuh seperti @linkaja yang terus meningkatkan fiturnya dimana saya selalu dengan mudah melakukan pembayaran online #LengkapnyaUntuk, Belakangan ini saya seneng berolahraga tentunya bersepada dimana pada masa pandemi harus meningkatkan sistem imun tubuh seperti linkaja yang terus meningkatkan fiturnya dimana saya selalu dengan mudah melakukan pembayaran online #LengkapnyaUntukSemua #PengalamanBaru,positif,,,,
hanna2556133184,@linkaja Selama pandemi jadi suka belajar masak dirumah.  Terimakasih link aja sudah memberikan postingan yang bermanfaat! Bayar apapun jadi mudah dan praktiss!! #LengkapnyaUntukSemua #PengalamanBaru @linkaja, Selama pandemi jadi suka belajar masak dirumah.  Terimakasih link aja sudah memberikan postingan yang bermanfaat! Bayar apapun jadi mudah dan praktiss!! #LengkapnyaUntukSemua #PengalamanBaru ,positif,,,,
fenkq_yohanes,@linkaja Akhir² ini suka banget baca buku apalagi novel bener² bikin mood naik seketika. Dimasa pandemi ini untuk bayar cash takut tapi @linkaja adalah jalan ninjaku utk byr dan beli² sesuatu tanpa berinteraksi secara langsung. #LengkapnyaUntukSemua #P, Akhir² ini suka banget baca buku apalagi novel,,,,,
iem0ntea,@linkaja selama pandemi #dirumahaja jadi lebih sering belajar masak untuk setiap transaksi nya pake @linkaja #PengalamanBaru #lengkapnyauntuksemua, selama pandemi #dirumahaja jadi lebih sering belajar masak,,,,,
kangjagalsapi,@linkaja Selama pandemi aku jadi mudah untuk segala transaksi mulai dari membeli makan makanan sehat dan membayar sepeda untuk olahraga pagi pun bisa dilakukan di @linkaja   #LengkapnyaUntukSemua #PengalamanBaru,linkaja Selama pandemi,,,,,
s_weidiant,@linkaja Sejak pandemi ini ga banyak aktivitas yang bisa dilakuin dirumah   untuk @linkaja jadi bisa melakukan pembayaran dengan mudah .. #lengkapnyauntuksemua  #pengalamanbaru, Sejak pandemi ini ga banyak aktivitas yang bisa dilakuin dirumah ,,,,,
yhossy_rizky,@linkaja Terima kasih @linkaja   sudah hadir dimasa pandemi seperti ini memberikan kemudahan cukup dengan sentuhan jari #lengkapnyauntuksemua, Terima kasih linkaja  sudah hadir dimasa pandemi seperti ini,,,,,
aznalmad,@linkaja Sejak pandemi melanda indonesia kita semua diharuskan #dirumahaja. Dengan dirumah kita bukan berhenti beraktifitas akan tetapi tetap melakukan hal positif. Nah kalo untuk segala sesuatu yang berhubungan dengan pembayaran ya tetap @linkaja  #lengk, Sejak pandemi melanda indonesia,,,,,
putrimarthin,@linkaja Masa pandemi di rumah membuat kita mempelajari hal hal kecil dari belajar memasakmembacaberolahraga di rumah menghabiskan waktu luang dengan keluarga itu yang sangat penting. Untuk aktivitas pembayaran online lewat app @linkaja  #lengkapnyauntuks, Masa pandemi di rumah membuat kita mempelajari hal hal kecil dari belajar memasak,,,,,
d4nielakt,@linkaja Selama pandemi ini alias #dirumahaja aku jadi lebih sering masak sendiri olahraga  dan galupa juga buat transaksi pake @linkaja #lengkapnyauntuksemua #PengalamanBaru, Selama pandemi ini alias #dirumahaja aku jadi lebih sering masak sendiri,,,,,
iamvia12,@linkaja Pas banget nih slama pandemi ini jadi lebih bahagia bisa brkumpul brsama keluarga membantu OrTu masak and selalu Brolahraga juga utk menjaga kesehatan tubuh and thank you untuk Apk @linkaja sangat membantu sya untuk mngisi saldo OVO  #PengalamanB, Pas banget nih,, and thank you untuk Apk linkaja sangat membantu sya untuk mngisi saldo OVO  #PengalamanBaru  #lengkapnyauntuksemua;positif,,,
jandabertarif,@linkaja Selama pandemi berlangsungaku mencoba untuk belajar masak dirumah dengan dilengkapi alat alat masak yang dibeli secara online dan pembayaran yang dibantu oleh @linkaja aku sangat berterima kasih #PengalamanBaru  #lengkapnyauntuksemua  #linkaja, Selama pandemi berlangsung,,,,,
nathacha_racha,@linkaja Akuu dulu paling males olahraga. Selain sibuk kerja PP depok-sudirman kalo mau olahraga udh cape duluan. Tapi karena pandemi gini wfh berasa gabut jadi yoga di rumah! Beli alat2 kayak matras dll di olshop bayarnya pake @linkaja praktis✨ #lengka, Akuu dulu paling males olahraga. Selain sibuk kerja PP depok-sudirman,,,,,
alfinmania16,@linkaja Dimasa pandemi ini. Kita diharuskan makan makanan sehat mulai dari sayuran buah buahan dan lain lain. Pembayarannya pun sekarang bisa pake @linkaja #PengalamanBaru #lengkapnyauntuksemua, Dimasa pandemi ini. Kita diharuskan makan makanan sehat,,,,,
hendrafebry,@linkaja Selama pandemi @linkaja  aja sangat membatu untuk untuk pembayaran on line bagi yg mulai dagang online. Membntu saya berjualan makanan online.  #pengalamanbaru  #lengkapnyauntuksemua  #linkaja, Selama pandemi link aja sangat membantu untuk untuk pembayaran online bagi yg mulai dagang online. Membantu saya berjualan makanan online.  #pengalamanbaru  #lengkapnyauntuksemua  #linkaja,positif,,,,
adiisukmo,@linkaja Di masa pandemi gini banyak pengalaman baru yaitu membaca buku dan belajar memasak berbagai masakan indonesia. Kegiatan ini bisa aku lakuin dengan bantuan aplikasi @linkaja karena belanja mudah. #lengkapnyauntuksemua #PengalamanBaru, Di masa pandemi gini banyak pengalaman baru yaitu membaca buku dan belajar memasak berbagai masakan indonesia. Kegiatan ini bisa aku lakuin dengan bantuan aplikasi linkaja karena belanja mudah. #lengkapnyauntuksemua #PengalamanBaru,positif,,,,
zeinfazri,@linkaja Selama pandemi dapet hobi baru main sepeda bareng temen temen untuk beli part dan upgrade sepeda nya bisa bayar pakai @linkaja    tanpa ribet 💯 jadi gak bingung lagi ketika #dirumahaja bisa berolahraga cardio setiap saat🙌 #lengkapnyauntukse, Selama pandemi dapet hobi baru main sepeda bareng temen temen,,,,,
pauskentuut,@linkaja di masa pandemi ini aku banyak menghabiskan waktu #dirumahaja dan banyak mengisi waktu luang dgn membaca buku dan belajar memasak sesekali jg olahraga pagi. Dgn pake @linkaja ini sgt membantu aku dan keluargaku untuk mempermudah pembayaran melalu, di masa pandemi ini aku banyak menghabiskan waktu #dirumahaja dan banyak mengisi waktu luang dgn membaca buku dan belajar memasak,,,,,
komalad5,@linkaja Pandemi menuntut perubahan selain harus #dirumahaja juga menuntut untuk lebih kreatif dan menjaga kesehatan dengan olah raga melakukan transaksi menggunakan @linkaja juga mengurangi resiko penularan #PengalamanBaru  #lengkapnyauntuksemua, Pandemi menuntut perubahan selain harus #dirumahaja juga menuntut untuk lebih kreatif dan menjaga kesehatan dengan olah raga,,,,,
trufflebudd,@linkaja Selama pandemi dan #dirumahaja  aku jadi punya pengalaman baru. Aku mulai belajar masak terutama masak kue. Aku beli bahan masak online dan bayar lewat @linkaja #PengalamanBaru #lengkapnyauntuksemua, Selama pandemi dan #dirumahaja ,,,,,
sukacleo,@linkaja Selama pandemi membuat intensitas di dalam rumah lebih lama belajar menulis baca buku dan masih banyak manfaat lainnya. Apalagi @linkaja yang bermanfaat buat semua transaksi. #LengkapnyaUntukSemua #PengalamanBaru, Selama pandemi membuat intensitas di dalam rumah lebih lama,,,,,
wagimanstory,@linkaja Selama pandemi dan #dirumasaja  jadi banyak hal dan pengalaman baru yang aku dapat seperti belajar memasak  membaca buku dan banyak kegiatan lainnya bersama keluarga. Dan segala ativitas pembayaran online lewat app @linkaja. #pengalamanbaru #leng, Selama pandemi dan #dirumasaja  jadi banyak hal dan pengalaman baru yang aku dapat,,,,,
adtyrzk05,@linkaja Sejak pandemi ini saya belajar bisnis online dan itu merupakan pengalaman baru saya hasilnya sangat bagus untuk menambah uang jajan saya uang hasil bisnis itu saya simpan lewat aplikasi @linkaja Karena mudah untuk membantu pembayaran saya. #lengk, Sejak pandemi ini saya belajar bisnis online dan itu merupakan pengalaman baru saya hasilnya sangat bagus untuk menambah uang jajan saya,,,,,
imamsutono_,@linkaja Biasanya sebelum pandemi sering jalan jalan tapi sekarang uang jajan bisa disisihin buat investasi masa depan. Dan investasinya bisa banget di @linkaja  ya kan :D  #lengkapnyauntuksemua #PengalamanBaru, Biasanya sebelum pandemi sering jalan jalan,,,,,
zaidanso,@linkaja daan sejak pandemi ini tepatnya di 2021 aku mulai pakai linkaja dan jadi keterusan deh sampe sekarang, daan sejak pandemi ini tepatnya di 2021 aku mulai pakai linkaja dan jadi keterusan deh sampe sekarang,positif,,,,
saputri_nasih,@linkaja Selama pandemi ini dan #dirumahaja jadi banyak hal dan pengalaman baru yang saya dapat seperti membaca buku belajar memasak dan banyak kegiatan lainnya bersama keluarga. Dan segala aktivitas pembayaran online lewat app @linkaja  #pengalamanbaru #, Selama pandemi ini dan #dirumahaja jadi banyak hal dan pengalaman baru yang saya dapat seperti membaca buku,,,,,
imel_imel_an,@linkaja Untung banged dah uda punya LinkAja sebelum pandemi. Jadi meski #DirumahAja bisa Bayar listrik PDAM pulsa hp tv kabel ampe pasar onlen cukup dikamar bahkan lagi ditoilet karena pake LinkAja lewat hp..😀  #lengkapnyauntuksemua #pengalamanbaru  @, Untung banged dah uda punya LinkAja sebelum pandemi. Jadi meski #DirumahAja bisa Bayar listrik,,,,,
nandaaulianr_,@linkaja Sejak pandemi ini jadi ngerubah pola hidup yang harus diiringin makan makanan sehat dan olahraga. Belum lagi menjalankan protokol kesehatan salah satunya meminimalisir penggunaan uang cash jadi punya beberapa e-money termasuk @linkaja . #lengkapn, Sejak pandemi ini,, jadi punya beberapa e-money, termasuk linkaja. #lengkapnyauntuksemua #pengalamanbaru;positif,,
fdlheka,@linkaja Linkaja mempermudah saya membeli kuota di masa pandemi initidak perlu keluar rumah dan dapat melalui mobile banking pembayarannyaSELAMAT HARI RAYA IMLEK! #LengkapnyaUntukSemua, Linkaja mempermudah saya membeli kuota di masa pandemi ini,,,,,
asepsun12,@linkaja Saya baru menggunakan aplikasi ini dan sangat membantu saat  pandemi seperti ini .dengan aplikasi linkaja saya bisa melakukan pembayaran apa saja tanpa keluar rumah.mudahpratktis dan cepat... Terimakasih @linkaja😘 #PengalamanBaru  ##lengkapnya, Saya baru menggunakan aplikasi ini dan sangat membantu saat  pandemi seperti ini .dengan aplikasi linkaja saya bisa melakukan pembayaran apa saja tanpa keluar rumah.mudah,,,,,
kingipulll,@linkaja @linkaja dimasa pandemi gini sulit buat kemana mana mau transaksi langsung takut kena corona untung ada LinkAja sebagai solusi yg cepat tepat dan bermanfaat #LinkAja #lengkapnyauntuksemua #PengalamanBaru,  dimasa pandemi gini sulit buat kemana mana,,,,,
yunyuniii,@linkaja Belajar masak jadi #PengalamanBaru  buat aku di tengah pandemi inibayar belanjaan pake link aja bener-bener bikin mudah semuanya #lengkapnyauntuksemua, Belajar masak jadi #PengalamanBaru  buat aku di tengah pandemi ini,,,,,
kyukkkkyu,@linkaja Di Pandemi ini gilak sih makin sering naik sepedandan juga membaca buku. Apalagi juga kalo belanja-belanja pake @linkaja jadi makin gampang banget. Mantap !! #PengalamanBaru #lengkapnyauntuksemua, Di Pandemi ini gilak sih makin sering naik sepedandan juga membaca buku. Apalagi juga kalo belanja-belanja pake linkaja jadi makin gampang banget. Mantap !! #PengalamanBaru #lengkapnyauntuksemua,positif,,,,
ibukosbaik_,@linkaja Pengen deh bisa belajar masak lagi karena di masa pandemi jd kurang ada kegiatan dirumah huhu tapi bahan udh pd menipis. Dan untungnya ada link aja bisa bayar e-commerce tanpa ribet. #PengalamanBaru #LengkapnyaUntukSemua @linkaja, Pengen deh bisa belajar masak lagi karena di masa pandemi jd kurang ada kegiatan dirumah huhu,,,,,
mbaknyabangtan,@linkaja Selama pandemi ini makan makanan sehat membantu banget buat kesehatan tubuh. Terima kasih link aja sudah menjadi aplikasi yang membantu untuk semua 🙏  #PengalamanBaru #LengkapUntukSemua, Selama pandemi ini makan makanan sehat membantu banget buat kesehatan tubuh. Terima kasih link aja sudah menjadi aplikasi yang membantu untuk semua 🙏  #PengalamanBaru #LengkapUntukSemua,positif,,,,
mboiscak,@linkaja Berkat promo kuota di @linkaja aku jadi bisa belajar masak setiap hari selama pandemi lewat tutorial di youtube  #PengalamanBaru  #lengkapnyauntuksemua @linkaja, Berkat promo kuota di  aku jadi bisa belajar masak setiap hari selama pandemi lewat tutorial di youtube  #PengalamanBaru  #lengkapnyauntuksemua ,positif,,,,
febritaayu,@linkaja Imlek sebentar lagi. Saatnya bagi2 angpao nih. Meski pandemi tetep bisa berbagi angpao virtual lewat @linkaja . Cocok sekali kan prokes tetap terjaga tapi angpao tetap dikasihkan 😊 #PengalamanBaru #LengkapnyaUntukSemua @linkaja, Imlek sebentar lagi. Saatnya bagi2 angpao nih. Meski pandemi,,,,,
sugunru,@linkaja Selama masa pandemi aku jadi suka banget workout/olahraga pagi buat nambah tinggi hehehaku juga suka banget belajar masak dessert beli bahan bahannya cukup dari marketplace dan bayar pake linkaja pokoknya praktis dehh #PengalamanBaru #LengkapnyaU, Selama masa pandemi,,,,,
sholihanadia,@linkaja Pas lagi ada kelas online dan tiba2 paketan habis ditengah kelas itu menyusahkan untung ada link aja jadi bisa beli pulsa cepet dan ga ribet. Mantap deh aplikasi ini terlebih saat pandemi gini jadi bisa meminimalisir keluar rumah.  #pengalamanbar, Pas lagi ada kelas online dan tiba2 paketan habis ditengah kelas itu menyusahkan,,,,,
mrcrown47356914,@linkaja Banyak banget aktifitas yang akhirnya dilakukan #DiRumahAja karena pandemi Bersepeda jadi aktifitas baru aku selama pandemi. Terima kasih buat @linkaja udah memudahkan transaksi melalui Smartphone. #pengalamanbaru #lengkapnyauntuksemua, Banyak banget aktifitas yang akhirnya dilakukan #DiRumahAja karena pandemi,,,,,
fyan90,@linkaja Selama pandemi ini hampir tiap hari selalu menjaga imunitas tubuh dengan olahraga pagi dan berjemur selain itu untuk keperluan pembayaran saya sangat mengandalkan @linkaja karna sangat lengkap sekali fiturnya #pengalamanbaru #lengkapnyauntuksemua, Selama pandemi ini hampir tiap hari selalu menjaga imunitas tubuh dengan olahraga pagi dan berjemur,,,,,
lievaniaa,Pandemi kaya gini emang enak banget tuh bayar apapun di rumah ajah ku kasih tau ya guys cukup di rumah aja pakai @linkaja HEMAT waktu juga guys #LengkapnyaUntukSemua  https://t.co/xJxxczLU25,Pandemi kaya gini emang enak banget tuh bayar apapun di rumah ajah,,,,,
ibu151,@linkaja Bukannya promo kemudahan tinggal di rumah malah ngajak jalan2 di tengah pandemi. Kalo udah g pandemi jadinya ngajakin macet2in jalan. Saran ya Min perbaiki ide promosinya...,linkaja Bukannya promo kemudahan tinggal di rumah,,,,,
abbas_hervinda,@linkaja Pengalaman baru menggunakan LinkAja selama masa pandemi #lengkapnyauntuksemua #PengalamanBaru @linkaja, Pengalaman baru menggunakan LinkAja selama masa pandemi #lengkapnyauntuksemua #PengalamanBaru ,positif,,,,
billyluista,@linkaja Aku selalu males keluar rumah apalagi saat pandemi. Tapi karena nggak punya E-banking aku jadi harus ke ATM. Tapi dengan adanya @linkaja aku merasa sangat terbantu sekaligus menjadi pengalaman baru bertransaksi secara mudah dan cepat. #lengkapnya, Aku selalu males keluar rumah,,,,,
dekkiki5,@linkaja Bagus banget kak saya akhir akhir ini sangat suka banget dengan #linkaja  Pas banget untuk pandemi Covid #PengalamanBaru #lengkapnyauntuksemua #dirumahaja, Bagus banget kak,,,,,
kabelkuningg,@linkaja Pas banget untuk aku yang sering males keluar rumah apalagi waktu pandemi gini daan kerennya lagi dapet cashback #PengalamanBaru #LengkapnyaUntukSemua @linkaja, Pas banget untuk aku yang sering males keluar rumah apalagi waktu pandemi gini daan kerennya lagi dapet cashback #PengalamanBaru #LengkapnyaUntukSemua ,positif,,,,
mohsony4,@linkaja Pandemi gini tetap produktif lah  Belajar Foto  Olahraga Pagi  dan pastinya Ngerjain tugas kampus dong dan kebantu dengan paket internet murah dari @linkaja #PengalamanBaru #LengkapnyaUntukSemua, Pandemi gini tetap produktif lah ,,,,,
tohamuhammad19,@linkaja Saat pandemi ini semua kegiatan dirumahkan termasuk belajar  dan pada saat kuota habis dengan aplikasi @Linkaja bisa lebih gampang dan cepat mengisi kuota dan tak perlu keluar rumah dan juga jadi pengalaman baru Dengan berbianis online  #lengkapn, Saat pandemi ini semua kegiatan dirumahkan termasuk belajar,,,,,
biscuitspanda,@linkaja Pengalaman selama #dirumahaja jadi lebih sering berolahraga dan bersih-bersih rumah karna untuk meluangkan waktu.Disaat pandemi seperti sekarang takut untuk keluar rumah tapi semenjak pakai aplikasi @linkaja semuanya jadi mudah. #lengkapnyauntuks, Pengalaman selama #dirumahaja jadi lebih sering berolahraga dan bersih-bersih rumah karna untuk meluangkan waktu.Disaat pandemi seperti sekarang takut untuk keluar rumah tapi semenjak pakai aplikasi linkaja semuanya jadi mudah. #lengkapnyauntuksemua #PengalamanBaru,positif,,,,
dengdex,@linkaja mempermudah segala urusan di saat pandemi isi pulsa token jadi ga perlu ke minimarket udah gitu ada cashback nya lagi kalo bisa perbanyak lagi cashback nya 😅  #lengkapnyauntuksemua  #PengalamanBaru,linkaja mempermudah segala urusan di saat pandemi,,,,,
